lemma,count
kommen,10217
machen,9245
lassen,8287
sagen,7743
sehen,6896
liegen,4816
finden,4701
dürfen,4170
halten,3982
nehmen,3889
zeigen,3882
stellen,3600
langen,3414
bringen,3395
führen,3261
hören,2881
heißen,2824
sprechen,2811
setzen,2633
fahren,2499
ziehen,2486
fallen,2381
spielen,2381
stehen,2374
brauchen,2340
leben,2300
tragen,2195
denken,2178
treffen,2139
schreiben,1883
fragen,1852
kennen,1737
sichern,1720
laufen,1709
wirken,1600
fordern,1576
helfen,1558
suchen,1547
steigen,1509
legen,1499
bieten,1411
schaffen,1375
nennen,1323
reichen,1240
folgen,1231
fühlen,1219
handeln,1210
lesen,1209
treten,1191
lernen,1184
reden,1144
fehlen,1085
schlagen,1080
sieben,1074
hängen,1073
nutzen,1056
kaufen,1052
sorgen,1049
fällen,1035
bauen,1023
drohen,1018
werfen,1010
ändern,987
zahlen,982
wählen,945
schicken,929
schauen,927
warten,925
rechnen,889
kosten,882
gleichen,876
teilen,867
stimmen,857
stecken,840
kämpfen,822
lösen,787
schließen,786
bitten,779
dauern,771
hoffen,771
planen,758
rufen,742
brechen,736
leisten,725
öffnen,721
treiben,716
passen,711
äußern,684
bilden,675
lieben,663
feiern,661
schützen,655
holen,655
dringen,654
enden,651
stammen,651
sinken,649
dienen,644
greifen,637
raten,633
fürchten,628
liefern,625
herrschen,620
drehen,611
melden,611
weisen,609
leiden,607
spüren,605
warnen,592
essen,575
wünschen,572
zwingen,566
diskutieren,563
töten,556
fliegen,547
stoßen,542
gründen,539
studieren,537
leiten,532
schätzen,531
trinken,523
richten,520
drängen,494
trennen,491
merken,487
schießen,487
kündigen,475
wechseln,465
kontrollieren,463
drücken,457
prüfen,456
fangen,449
finanzieren,445
stürzen,433
nähern,432
sparen,431
blicken,428
lehnen,422
sammeln,420
fördern,414
träumen,397
streiten,397
doppeln,392
senken,390
wahren,389
messen,387
reißen,372
prägen,367
zeichnen,365
tauchen,358
wagen,357
füllen,357
breiten,351
singen,351
stören,350
rücken,340
fassen,339
klären,333
springen,333
schlafen,325
stoppen,324
deuten,313
werben,312
ahnen,311
weiten,306
heben,301
klagen,297
streichen,294
schneiden,291
räumen,289
formulieren,288
kehren,288
zielen,285
stärken,284
schieben,283
wehren,281
malen,277
pflegen,275
trauen,266
leeren,259
stützen,256
engen,254
achten,252
schenken,246
eignen,242
lächeln,237
lohnen,235
üben,233
locken,225
fliehen,224
sperren,221
kriegen,221
lehren,219
wecken,218
spannen,217
packen,216
kochen,215
binden,210
brennen,209
decken,208
lockern,202
nötigen,201
jagen,201
tanzen,197
billigen,194
wundern,191
steigern,191
rollen,190
mischen,188
wenden,186
loben,180
spiegeln,178
rühren,177
lenken,177
nützen,176
schildern,171
rauchen,170
heiraten,169
strahlen,169
neigen,168
stillen,168
speichern,168
weigern,166
starren,159
laden,159
ruhen,159
schütteln,158
zweifeln,158
frischen,157
rennen,157
zeugen,156
lagern,155
schreien,153
kassieren,152
ringen,150
klappen,146
schwimmen,146
fressen,145
ordnen,144
fügen,143
leihen,142
bremsen,138
forschen,138
kürzen,138
wandeln,137
baden,134
schalten,134
schwächen,132
quälen,131
drucken,130
knüpfen,130
kleben,127
kühlen,125
fertigen,125
wehen,124
weinen,123
stechen,123
wiegen,120
ärgern,119
strömen,119
qualifizieren,118
transportieren,118
löschen,118
hindern,115
waschen,115
schwingen,115
feuern,114
meiden,113
formen,113
winken,113
regen,112
täuschen,112
irren,111
vollziehen,111
hellen,110
scheiden,109
schlucken,108
operieren,107
tauschen,107
werten,107
schleppen,105
spalten,104
telefonieren,103
strecken,99
interpretieren,99
runden,98
nerven,98
kleiden,97
zünden,96
stehlen,96
speisen,96
sprengen,95
buchen,94
reizen,94
kalkulieren,93
staunen,93
schimpfen,93
gießen,92
blasen,91
stapeln,91
mahnen,91
rüsten,90
klingeln,90
schelten,89
zögern,88
dichten,88
gleiten,88
sortieren,88
schwärmen,88
probieren,88
preisen,88
atmen,86
nähren,84
stemmen,84
schonen,84
streifen,82
dulden,81
graben,81
mindern,81
danken,81
küssen,79
pumpen,79
schmelzen,78
opfern,78
sehnen,78
stopfen,77
trösten,77
reiben,76
gönnen,75
pflanzen,74
schälen,74
trüben,73
parken,72
trocknen,71
lügen,71
hüten,71
füttern,70
bannen,70
schulden,70
spülen,69
münden,69
leugnen,69
blenden,68
spitzen,68
rauben,67
biegen,67
mieten,67
reihen,67
klopfen,66
ehren,66
streuen,65
montieren,64
pressen,63
rütteln,63
prügeln,63
wetten,63
wähnen,62
kriechen,62
putzen,61
fesseln,61
diktieren,60
schmerzen,60
bahnen,59
stiften,59
blitzen,58
kreuzen,58
differenzieren,58
spritzen,58
bohren,57
trotzen,56
blättern,56
süßen,56
tippen,56
schädigen,56
schulen,56
lichten,55
reifen,55
fischen,55
schrecken,55
reiten,54
proben,54
klatschen,54
reinigen,54
klauen,54
schwören,54
schärfen,52
klammern,52
backen,52
winden,52
schöpfen,52
schwenken,51
wickeln,51
tasten,50
brüllen,50
konsumieren,50
pfeifen,50
knallen,49
fegen,49
hüllen,49
mildern,47
zieren,47
ebnen,46
rühmen,46
türmen,46
mehren,46
rasieren,46
färben,46
kratzen,46
heizen,46
zaubern,46
schnüren,45
hetzen,45
koppeln,45
säumen,45
plündern,45
wischen,44
flüstern,44
tätigen,44
knacken,44
schwitzen,44
impfen,44
schmeißen,44
senden,43
fetten,42
programmieren,42
quellen,42
braten,42
speien,42
walten,42
tilgen,41
segeln,41
lasten,41
saugen,41
wärmen,40
kappen,40
schleusen,39
trügen,39
falten,39
schleudern,39
schütten,39
brummen,39
polieren,38
tropfen,38
dehnen,38
duschen,38
hacken,37
klemmen,37
rangieren,37
kauen,37
schlachten,36
bröckeln,36
schrauben,36
wägen,35
schmuggeln,35
hemmen,35
grübeln,35
schneien,35
festigen,34
wälzen,34
donnern,34
wühlen,34
brüten,34
tarnen,33
zwängen,33
mustern,33
büßen,33
mühen,33
nähen,33
feilen,32
glücken,32
salzen,32
bürgen,32
listen,31
tönen,31
weihen,31
segnen,31
strafen,31
schwellen,30
säen,30
hieven,30
schweifen,30
schnitzen,29
schuften,29
wirbeln,29
filtern,29
horchen,28
dampfen,28
sinnen,28
schmeicheln,28
spucken,27
schnallen,27
jammern,27
ordern,27
tappen,27
wuchten,26
kneten,26
brausen,26
drosseln,25
gruppieren,25
datieren,25
heuern,25
läuten,25
lüften,25
schminken,25
schleifen,24
fristen,24
nagen,24
funken,24
knicken,24
schmiegen,23
roden,23
siedeln,23
rammen,23
putschen,23
krümmen,22
heften,22
grasen,22
weiden,22
spotten,22
saufen,21
schlürfen,21
fälschen,21
ketten,21
schmieren,21
harren,21
sprühen,20
wölben,20
dreschen,20
scherzen,20
kämmen,20
peitschen,20
zollen,19
stauen,19
schäumen,19
zehren,18
pflücken,18
stampfen,18
sägen,18
stufen,18
tanken,18
pauken,17
stottern,17
knabbern,17
fechten,17
pachten,16
würgen,16
haken,16
rupfen,16
schaufeln,16
schichten,16
husten,16
spreizen,15
kneifen,15
tricksen,15
sündigen,15
quetschen,14
schmettern,14
schlingen,14
borgen,14
raunen,14
ängstigen,14
checken,14
buddeln,14
schweißen,14
bügeln,14
melken,14
zanken,13
mähen,13
flammen,13
knipsen,13
schinden,12
futtern,12
mahlen,12
krempeln,12
kotzen,12
blähen,12
kramen,12
bleichen,11
tauen,11
spähen,11
krallen,11
steifen,11
weben,11
tupfen,11
kommandieren,11
peilen,11
flehen,11
nageln,11
gliedern,11
fachen,11
prellen,10
fädeln,10
scheuern,10
meißeln,10
kristallisieren,9
zapfen,9
ködern,9
quartieren,9
loten,9
bäumen,9
raffen,9
bürsten,9
qualmen,9
dämmen,9
knöpfen,9
knutschen,9
trampeln,9
schwärzen,8
heucheln,8
balgen,8
ballern,8
schaben,8
kurbeln,8
stöbern,8
flechten,8
ekeln,8
schmatzen,8
spionieren,8
wetzen,8
mauern,8
schnüffeln,7
gaukeln,7
sprenkeln,7
naschen,7
baggern,7
grämen,7
löffeln,7
kriminalisieren,7
hauchen,7
plappern,7
turnen,7
quatschen,7
rappeln,7
walzen,7
päppeln,7
eifern,6
scharren,6
patzen,6
schwindeln,6
zausen,6
martern,6
spulen,6
räuchern,6
häuten,6
kurieren,6
ritzen,6
schrammen,6
bummeln,6
scheuchen,6
stempeln,6
pferchen,6
fauchen,6
sühnen,5
kleckern,5
fummeln,5
pudern,5
stauchen,5
tunken,5
leimen,5
satteln,5
misten,5
pfuschen,5
wässern,5
buttern,5
drillen,5
posaunen,5
spießen,5
brühen,5
dörren,5
cremen,5
lausen,4
fetzen,4
poppen,4
splittern,4
kloppen,4
stanzen,4
härten,4
kugeln,4
neiden,4
spornen,4
haaren,4
schnauben,4
träufeln,3
rotten,3
mengen,3
knoten,3
zetteln,3
booten,3
schwatzen,3
militarisieren,3
keltern,3
bauschen,3
ölen,3
gabeln,3
leiern,3
hätscheln,3
pellen,2
krümeln,2
schnäuzen,2
stückeln,2
hobeln,2
haspeln,2
knittern,2
krampfen,2
haschen,2
kitten,2
trompeten,2
radieren,2
fächeln,2
schachteln,2
wringen,2
lochen,2
sengen,2
löten,2
kreuzigen,2
balsamieren,1
stippen,1
staffieren,1
salben,1
pfropfen,1
säuern,1
zinken,1
hexen,1
nässen,1
nieten,1
rammeln,1
pfänden,1
schlitzen,1
